API,category,content,publishedAt,rank,title,url,metarank
NewsAPI,business,"Mr. Nehikhueres parents were poor back in Nigeria. They moved to New York, where Mr. Nehikhueres father drove a cab. They eventually made their way to Houston, where life was cheaper and his parents … [+1211 chars]",2021-01-03T10:00:00Z,0,‘A Slap in the Face’: The Pandemic Disrupts Young Oil Careers - The New York Times,https://www.nytimes.com/2021/01/03/business/oil-industry-careers.html,1
NewsAPI,technology,,2021-01-03T05:59:00Z,0,A Forgotten PS1 Game Called Magic Castle Has Been Released - Bleeding Cool News,https://bleedingcool.com/games/a-forgotten-ps1-game-called-magic-castle-has-been-released/,2
CurrentsAPI,business,,2021-01-02 23:36:42 +0000,0,"Fund for St. Paul businesses hurt by unrest holding $800,000",https://m.washingtontimes.com/news/2021/jan/2/fund-for-st-paul-businesses-hurt-by-unrest-holding/,3
CurrentsAPI,technology,,2021-01-02 23:57:14 +0000,0,SpaceX Will Catch Super Heavy Booster With Launch Tower Arm | NextBigFuture.com,https://www.nextbigfuture.com/2021/01/spacex-will-catch-super-heavy-booster-with-launch-tower-arm.html,4
NewsAPI,business,"media captionCoronavirus: Delhi's deadliest month
India has formally approved the emergency use of two coronavirus vaccines as it prepares for one of the world's biggest inoculation drives.
The dru… [+2531 chars]",2021-01-03T08:36:00Z,1,Coronavirus: India approves vaccines from Bharat Biotech and Oxford/AstraZeneca - BBC News,https://www.bbc.com/news/world-asia-india-55520658,5
NewsAPI,technology,"Tekken 7 (Image: Bandai Namco)
During a New Year live stream, Bandai Namco Tekken 7 director Katsuhiro Harada mentioned how he was quite possibly working on the Japanese company's ""most costly devel… [+1011 chars]",2021-01-03T05:55:00Z,1,Random: Tekken Director Thinks His New Game Might Be Bandai Namco's Most Expensive Project Ever - Nintendo Life,https://www.nintendolife.com/news/2021/01/random_tekken_director_thinks_his_new_game_might_be_bandai_namcos_most_expensive_project_ever,6
CurrentsAPI,business,,2021-01-02 22:50:05 +0000,1,Iraq Dismantles Mine on Tanker in Persian Gulf,https://www.voanews.com/middle-east/iraq-dismantles-mine-tanker-persian-gulf,7
CurrentsAPI,technology,,2021-01-02 23:50:43 +0000,1,Why Is Having an SSL Certificate Important For Your Website? - DZone Security,https://dzone.com/articles/why-ssl-certificate-is-important-for-your-website,8
NewsAPI,business,"SACRAMENTO, Calif. —Small businesses struggling from the COVID-19 shutdowns are getting another round of financial help with the latest spending bill passed by Congress. Of the $900 billion approved … [+2342 chars]",2021-01-03T06:49:00Z,2,What we know about the new PPP loans for small businesses - KCRA Sacramento,https://www.kcra.com/article/what-we-know-about-the-new-ppp-loans-for-small-businesses/35111997,9
NewsAPI,technology,,2021-01-03T05:10:00Z,2,Pokémon GO Artist Jason Marino Explains Hopeful 2021 Screen - Bleeding Cool News,https://bleedingcool.com/games/pokemon-go-artist-jason-marino-explains-hopeful-2021-screen/,10
CurrentsAPI,business,,2021-01-02 22:39:57 +0000,2,Dining notes: Restaurant sales jump not felt by indies; Cajun seafood boom continues - Delaware Business Now,https://delawarebusinessnow.com/2021/01/dining-notes-restaurant-sales-jump-not-felt-by-indies-crab-du-jour-opens-second-location-harrys-using-covid-killing-air-purifiers/,11
CurrentsAPI,technology,,2021-01-02 23:36:45 +0000,2,An old build of Windows Core 'Polaris' has leaked online,https://www.windowscentral.com/old-build-windows-core-polaris-has-leaked-online,12
NewsAPI,business,"U.S. stocks closed 2020 on a strong note, and many investors are betting the party will continue after a tumultuous year that marked both the end of the longest bull market and the shortest-lived bea… [+4594 chars]",2021-01-03T06:45:34Z,3,"Investors bullish on stocks, hoping for a brighter 2021 - Fox Business",https://www.foxbusiness.com/markets/investors-bullish-on-stocks-hoping-for-a-brighter-2021,13
NewsAPI,technology,"It all started with the Nvidia GeForce RTX 3080 and RTX 3090 blowing everyone away with their superlative performances and generational improvements, and now it appears the GeForce RTX 30 series is g… [+1219 chars]",2021-01-03T04:14:18Z,3,GeForce RTX 3070 Super and RTX 3080 Super graphics cards could be in the works as Nvidia looks to further expand the Ampere-based series - Notebookcheck.net,https://www.notebookcheck.net/GeForce-RTX-3070-Super-and-RTX-3080-Super-graphics-cards-could-be-in-the-works-as-Nvidia-looks-to-further-expand-the-Ampere-based-series.512789.0.html,14
CurrentsAPI,business,,2021-01-02 22:38:00 +0000,3,Israeli Protesters Press on Against Netanyahu,https://www.voanews.com/middle-east/israeli-protesters-press-against-netanyahu,15
CurrentsAPI,technology,,2021-01-02 23:34:43 +0000,3,Consistent Density For Desalination Membranes Can Increase Efficiency by Up to 40% | NextBigFuture.com,https://www.nextbigfuture.com/2021/01/consistent-density-for-desalination-membranes-can-increase-efficiency-by-up-to-40.html,16
NewsAPI,business,"The owner and operator of a popular Mexican restaurant in La Mirada is suing a man who allegedly defamed him on Yelp by falsely stating the eatery serves ""horrible"" food, that management is ""nuts"" an… [+1689 chars]",2021-01-03T06:22:10Z,4,La Mirada Restaurant Owner Sues Former Employee Over Yelp Remarks - NBC Southern California,https://www.nbclosangeles.com/news/local/la-mirada-restaurant-owner-sues-former-employee-over-yelp-remarks/2497326/,17
NewsAPI,technology,"Leaks have slowly dropped as new content is added in VALORANT for the upcoming Episode Two update, including new skins, battle pass details, and a new agent.
The latest leak today showed off a new a… [+1636 chars]",2021-01-03T03:41:00Z,4,New VALORANT leak shows off Agent 14's abilities and more - Dot Esports,https://dotesports.com/valorant/news/new-valorant-leak-shows-off-agent-14s-abilities-and-more,18
CurrentsAPI,business,,2021-01-02 22:37:18 +0000,4,NYSE to delist 3 Chinese telco giants on U.S. executive order,https://www.pressherald.com/2021/01/02/nyse-to-delist-3-chinese-telco-giants-on-u-s-executive-order/,19
CurrentsAPI,technology,,2021-01-02 23:29:04 +0000,4,58.8 Times Faster AI Training With New Chip Architecture,https://www.nextbigfuture.com/2021/01/58-8-times-faster-ai-training-with-new-chip-architecture.html,20
NewsAPI,business,"The price of the world's most popular cryptocurrency traded as high as $33,099 on Saturday
Digital currency Bitcoin extended its record-smashing rally on Saturday, beginning the year with a surge ov… [+1806 chars]",2021-01-03T05:20:47Z,5,"Bitcoin Surges Above $30,000 For First Time Ever - NDTV Profit",https://www.ndtv.com/business/digital-currency-bitcoin-surges-above-30-000-for-first-time-to-as-high-as-33-099-on-saturday-2347050,21
NewsAPI,technology,Ring in the new year with some extra money in your pocket thanks to these New Year's sales. Retailers from Best Buy to Walmart are offering New Year's sales on everything from fitness apparel to Appl… [+27938 chars],2021-01-03T02:53:00Z,5,"New Year's sales 2021 — Amazon, Walmart, Best Buy and more - Tom's Guide",https://www.tomsguide.com/news/new-years-sales-2021-amazon-walmart-best-buy-and-more,22
CurrentsAPI,business,,2021-01-02 22:35:47 +0000,5,"Tesla delivered 499,550 vehicles in 2020, just shy of target",https://www.pressherald.com/2021/01/02/tesla-delivered-499550-vehicles-in-2020-just-shy-of-target/,23
CurrentsAPI,technology,,2021-01-02 23:10:44 +0000,5,Archaeology is going digital to harness the power of Big Data,https://arstechnica.com/science/2021/01/archaeology-is-going-digital-to-harness-the-power-of-big-data/,24
